id,platform,media_type,date,title,lead,context
1,Forbes Woman,Деловые медиа,2022-05-08,Женщины в бизнесе преодолевают недоверие и профессиональные трудности,"Публикация показывает, что женский успех часто описывается через преодоление ограничений, тревоги, недоверия и социальных ожиданий. Акцент сделан на бизнесе, лидерстве, карьерном росте и профессиональных результатах.","Публикация показывает, что женский успех часто описывается через преодоление ограничений, тревоги, недоверия и социальных ожиданий. Акцент сделан на бизнесе, лидерстве, карьерном росте и профессиональных результатах."
2,Forbes Woman,Деловые медиа,2020-10-19,"Руководительницы нового поколения: лидерство, бизнес и стратегия","Публикация показывает, как профессионализм, амбиции, работа с командой и управленческие навыки становятся основой женского успеха. Акцент сделан на бизнесе, лидерстве, карьерном росте и профессиональных результатах.","Публикация показывает, как профессионализм, амбиции, работа с командой и управленческие навыки становятся основой женского успеха. Акцент сделан на бизнесе, лидерстве, карьерном росте и профессиональных результатах."
3,Forbes Woman,Деловые медиа,2021-12-01,Двойная нагрузка и предвзятость: скрытые барьеры женской карьеры,"Публикация показывает, что женский успех часто описывается через преодоление ограничений, тревоги, недоверия и социальных ожиданий. Акцент сделан на бизнесе, лидерстве, карьерном росте и профессиональных результатах.","Публикация показывает, что женский успех часто описывается через преодоление ограничений, тревоги, недоверия и социальных ожиданий. Акцент сделан на бизнесе, лидерстве, карьерном росте и профессиональных результатах."
4,Forbes Woman,Деловые медиа,2022-09-29,Женщина-лидер: путь от профессионального роста к управлению командой,"В центре текста — руководительница, ее карьерная траектория, предпринимательский опыт и решения, которые помогли развивать проект. Акцент сделан на бизнесе, лидерстве, карьерном росте и профессиональных результатах.","В центре текста — руководительница, ее карьерная траектория, предпринимательский опыт и решения, которые помогли развивать проект. Акцент сделан на бизнесе, лидерстве, карьерном росте и профессиональных результатах."
5,Forbes Woman,Деловые медиа,2024-04-03,Предпринимательница превращает проект в устойчивый бизнес,"Публикация показывает, как профессионализм, амбиции, работа с командой и управленческие навыки становятся основой женского успеха. Акцент сделан на бизнесе, лидерстве, карьерном росте и профессиональных результатах.","Публикация показывает, как профессионализм, амбиции, работа с командой и управленческие навыки становятся основой женского успеха. Акцент сделан на бизнесе, лидерстве, карьерном росте и профессиональных результатах."
6,Forbes Woman,Деловые медиа,2022-06-18,Список лидеров года: публичное признание формирует образ успеха,"Текст связывает успех с публичностью, признанием, рейтингами, репутацией, статусом и заметностью героинь в медиа. Акцент сделан на бизнесе, лидерстве, карьерном росте и профессиональных результатах.","Текст связывает успех с публичностью, признанием, рейтингами, репутацией, статусом и заметностью героинь в медиа. Акцент сделан на бизнесе, лидерстве, карьерном росте и профессиональных результатах."
7,Forbes Woman,Деловые медиа,2022-07-27,Карьера и семья: женщины ищут баланс между работой и домом,"Героини рассказывают, как совмещают профессию, родительство, отношения, дом и личные цели без отказа от самореализации. Акцент сделан на бизнесе, лидерстве, карьерном росте и профессиональных результатах.","Героини рассказывают, как совмещают профессию, родительство, отношения, дом и личные цели без отказа от самореализации. Акцент сделан на бизнесе, лидерстве, карьерном росте и профессиональных результатах."
8,Forbes Woman,Деловые медиа,2024-07-01,Личный выбор и свобода меняют представление об успешной женщине,"Материал описывает успех через самореализацию, личный выбор, свободу, поиск себя и возможность менять жизненную траекторию. Акцент сделан на бизнесе, лидерстве, карьерном росте и профессиональных результатах.","Материал описывает успех через самореализацию, личный выбор, свободу, поиск себя и возможность менять жизненную траекторию. Акцент сделан на бизнесе, лидерстве, карьерном росте и профессиональных результатах."
9,Forbes Woman,Деловые медиа,2022-05-14,Двойная нагрузка и предвзятость: скрытые барьеры женской карьеры,"Публикация показывает, что женский успех часто описывается через преодоление ограничений, тревоги, недоверия и социальных ожиданий. Акцент сделан на бизнесе, лидерстве, карьерном росте и профессиональных результатах.","Публикация показывает, что женский успех часто описывается через преодоление ограничений, тревоги, недоверия и социальных ожиданий. Акцент сделан на бизнесе, лидерстве, карьерном росте и профессиональных результатах."
10,Forbes Woman,Деловые медиа,2023-07-12,Стеклянный потолок и стереотипы: барьеры в профессии,"Публикация показывает, что женский успех часто описывается через преодоление ограничений, тревоги, недоверия и социальных ожиданий. Акцент сделан на бизнесе, лидерстве, карьерном росте и профессиональных результатах.","Публикация показывает, что женский успех часто описывается через преодоление ограничений, тревоги, недоверия и социальных ожиданий. Акцент сделан на бизнесе, лидерстве, карьерном росте и профессиональных результатах."
11,Forbes Woman,Деловые медиа,2025-08-06,Карьера без паузы: женщины развивают компании и команды,"Публикация показывает, как профессионализм, амбиции, работа с командой и управленческие навыки становятся основой женского успеха. Акцент сделан на бизнесе, лидерстве, карьерном росте и профессиональных результатах.","Публикация показывает, как профессионализм, амбиции, работа с командой и управленческие навыки становятся основой женского успеха. Акцент сделан на бизнесе, лидерстве, карьерном росте и профессиональных результатах."
12,Forbes Woman,Деловые медиа,2025-02-22,Самореализация вместо сценариев: новые модели женского успеха,"В центре текста — индивидуальный опыт, перемены, право на паузу и отказ от единственного нормативного сценария успеха. Акцент сделан на бизнесе, лидерстве, карьерном росте и профессиональных результатах.","В центре текста — индивидуальный опыт, перемены, право на паузу и отказ от единственного нормативного сценария успеха. Акцент сделан на бизнесе, лидерстве, карьерном росте и профессиональных результатах."
13,Forbes Woman,Деловые медиа,2021-07-25,"Женщины становятся видимыми: медиа, репутация и влияние","В центре материала — известность, профессиональная репутация, публичный образ и символический капитал успешной женщины. Акцент сделан на бизнесе, лидерстве, карьерном росте и профессиональных результатах.","В центре материала — известность, профессиональная репутация, публичный образ и символический капитал успешной женщины. Акцент сделан на бизнесе, лидерстве, карьерном росте и профессиональных результатах."
14,Forbes Woman,Деловые медиа,2022-12-12,Двойная нагрузка и предвзятость: скрытые барьеры женской карьеры,"Героини материала говорят о стеклянном потолке, предвзятости, двойной нагрузке и необходимости постоянно доказывать свою экспертность. Акцент сделан на бизнесе, лидерстве, карьерном росте и профессиональных результатах.","Героини материала говорят о стеклянном потолке, предвзятости, двойной нагрузке и необходимости постоянно доказывать свою экспертность. Акцент сделан на бизнесе, лидерстве, карьерном росте и профессиональных результатах."
15,Forbes Woman,Деловые медиа,2024-06-23,Список лидеров года: публичное признание формирует образ успеха,"Текст связывает успех с публичностью, признанием, рейтингами, репутацией, статусом и заметностью героинь в медиа. Акцент сделан на бизнесе, лидерстве, карьерном росте и профессиональных результатах.","Текст связывает успех с публичностью, признанием, рейтингами, репутацией, статусом и заметностью героинь в медиа. Акцент сделан на бизнесе, лидерстве, карьерном росте и профессиональных результатах."
16,Forbes Woman,Деловые медиа,2021-07-20,"Руководительницы нового поколения: лидерство, бизнес и стратегия","В центре текста — руководительница, ее карьерная траектория, предпринимательский опыт и решения, которые помогли развивать проект. Акцент сделан на бизнесе, лидерстве, карьерном росте и профессиональных результатах.","В центре текста — руководительница, ее карьерная траектория, предпринимательский опыт и решения, которые помогли развивать проект. Акцент сделан на бизнесе, лидерстве, карьерном росте и профессиональных результатах."
17,Forbes Woman,Деловые медиа,2021-01-07,"Рейтинг успешных женщин: публичность, признание и профессиональный статус","Текст связывает успех с публичностью, признанием, рейтингами, репутацией, статусом и заметностью героинь в медиа. Акцент сделан на бизнесе, лидерстве, карьерном росте и профессиональных результатах.","Текст связывает успех с публичностью, признанием, рейтингами, репутацией, статусом и заметностью героинь в медиа. Акцент сделан на бизнесе, лидерстве, карьерном росте и профессиональных результатах."
18,Forbes Woman,Деловые медиа,2021-09-18,"Женщины становятся видимыми: медиа, репутация и влияние","В центре материала — известность, профессиональная репутация, публичный образ и символический капитал успешной женщины. Акцент сделан на бизнесе, лидерстве, карьерном росте и профессиональных результатах.","В центре материала — известность, профессиональная репутация, публичный образ и символический капитал успешной женщины. Акцент сделан на бизнесе, лидерстве, карьерном росте и профессиональных результатах."
19,Forbes Woman,Деловые медиа,2024-09-25,"Пауза, перемены и поиск себя: истории женской самореализации","Материал описывает успех через самореализацию, личный выбор, свободу, поиск себя и возможность менять жизненную траекторию. Акцент сделан на бизнесе, лидерстве, карьерном росте и профессиональных результатах.","Материал описывает успех через самореализацию, личный выбор, свободу, поиск себя и возможность менять жизненную траекторию. Акцент сделан на бизнесе, лидерстве, карьерном росте и профессиональных результатах."
20,Forbes Woman,Деловые медиа,2024-04-25,Карьера без паузы: женщины развивают компании и команды,"Публикация показывает, как профессионализм, амбиции, работа с командой и управленческие навыки становятся основой женского успеха. Акцент сделан на бизнесе, лидерстве, карьерном росте и профессиональных результатах.","Публикация показывает, как профессионализм, амбиции, работа с командой и управленческие навыки становятся основой женского успеха. Акцент сделан на бизнесе, лидерстве, карьерном росте и профессиональных результатах."
21,Forbes Woman,Деловые медиа,2025-04-01,"Руководительницы нового поколения: лидерство, бизнес и стратегия","В центре текста — руководительница, ее карьерная траектория, предпринимательский опыт и решения, которые помогли развивать проект. Акцент сделан на бизнесе, лидерстве, карьерном росте и профессиональных результатах.","В центре текста — руководительница, ее карьерная траектория, предпринимательский опыт и решения, которые помогли развивать проект. Акцент сделан на бизнесе, лидерстве, карьерном росте и профессиональных результатах."
22,Forbes Woman,Деловые медиа,2020-02-17,Что мешает женщинам строить карьеру и занимать руководящие должности,"Публикация показывает, что женский успех часто описывается через преодоление ограничений, тревоги, недоверия и социальных ожиданий. Акцент сделан на бизнесе, лидерстве, карьерном росте и профессиональных результатах.","Публикация показывает, что женский успех часто описывается через преодоление ограничений, тревоги, недоверия и социальных ожиданий. Акцент сделан на бизнесе, лидерстве, карьерном росте и профессиональных результатах."
23,Forbes Woman,Деловые медиа,2022-12-28,Список лидеров года: публичное признание формирует образ успеха,"Текст связывает успех с публичностью, признанием, рейтингами, репутацией, статусом и заметностью героинь в медиа. Акцент сделан на бизнесе, лидерстве, карьерном росте и профессиональных результатах.","Текст связывает успех с публичностью, признанием, рейтингами, репутацией, статусом и заметностью героинь в медиа. Акцент сделан на бизнесе, лидерстве, карьерном росте и профессиональных результатах."
24,Forbes Woman,Деловые медиа,2023-04-17,Карьера без паузы: женщины развивают компании и команды,"Материал рассказывает о карьерном росте, лидерстве, управлении командой и профессиональных достижениях женщин в бизнесе. Акцент сделан на бизнесе, лидерстве, карьерном росте и профессиональных результатах.","Материал рассказывает о карьерном росте, лидерстве, управлении командой и профессиональных достижениях женщин в бизнесе. Акцент сделан на бизнесе, лидерстве, карьерном росте и профессиональных результатах."
25,Forbes Woman,Деловые медиа,2025-02-01,"Рейтинг успешных женщин: публичность, признание и профессиональный статус","В центре материала — известность, профессиональная репутация, публичный образ и символический капитал успешной женщины. Акцент сделан на бизнесе, лидерстве, карьерном росте и профессиональных результатах.","В центре материала — известность, профессиональная репутация, публичный образ и символический капитал успешной женщины. Акцент сделан на бизнесе, лидерстве, карьерном росте и профессиональных результатах."
26,Forbes Woman,Деловые медиа,2022-12-14,"Пауза, перемены и поиск себя: истории женской самореализации","Материал описывает успех через самореализацию, личный выбор, свободу, поиск себя и возможность менять жизненную траекторию. Акцент сделан на бизнесе, лидерстве, карьерном росте и профессиональных результатах.","Материал описывает успех через самореализацию, личный выбор, свободу, поиск себя и возможность менять жизненную траекторию. Акцент сделан на бизнесе, лидерстве, карьерном росте и профессиональных результатах."
27,Forbes Woman,Деловые медиа,2025-09-10,Быть кем захочешь: женщины выбирают собственную траекторию,"Публикация показывает, что успешность может быть связана не только с карьерой, но и с внутренней свободой, развитием и любимым делом. Акцент сделан на бизнесе, лидерстве, карьерном росте и профессиональных результатах.","Публикация показывает, что успешность может быть связана не только с карьерой, но и с внутренней свободой, развитием и любимым делом. Акцент сделан на бизнесе, лидерстве, карьерном росте и профессиональных результатах."
28,Forbes Woman,Деловые медиа,2023-05-07,Forbes-список и репутация: как измеряется женская успешность,"В центре материала — известность, профессиональная репутация, публичный образ и символический капитал успешной женщины. Акцент сделан на бизнесе, лидерстве, карьерном росте и профессиональных результатах.","В центре материала — известность, профессиональная репутация, публичный образ и символический капитал успешной женщины. Акцент сделан на бизнесе, лидерстве, карьерном росте и профессиональных результатах."
29,Forbes Woman,Деловые медиа,2022-03-25,Женщина-лидер: путь от профессионального роста к управлению командой,"В центре текста — руководительница, ее карьерная траектория, предпринимательский опыт и решения, которые помогли развивать проект. Акцент сделан на бизнесе, лидерстве, карьерном росте и профессиональных результатах.","В центре текста — руководительница, ее карьерная траектория, предпринимательский опыт и решения, которые помогли развивать проект. Акцент сделан на бизнесе, лидерстве, карьерном росте и профессиональных результатах."
30,Forbes Woman,Деловые медиа,2021-10-23,Forbes-список и репутация: как измеряется женская успешность,"В центре материала — известность, профессиональная репутация, публичный образ и символический капитал успешной женщины. Акцент сделан на бизнесе, лидерстве, карьерном росте и профессиональных результатах.","В центре материала — известность, профессиональная репутация, публичный образ и символический капитал успешной женщины. Акцент сделан на бизнесе, лидерстве, карьерном росте и профессиональных результатах."
31,Forbes Woman,Деловые медиа,2020-01-03,"Руководительницы нового поколения: лидерство, бизнес и стратегия","В центре текста — руководительница, ее карьерная траектория, предпринимательский опыт и решения, которые помогли развивать проект. Акцент сделан на бизнесе, лидерстве, карьерном росте и профессиональных результатах.","В центре текста — руководительница, ее карьерная траектория, предпринимательский опыт и решения, которые помогли развивать проект. Акцент сделан на бизнесе, лидерстве, карьерном росте и профессиональных результатах."
32,Forbes Woman,Деловые медиа,2025-06-24,Как женщины строят карьеру и занимают лидерские позиции,"Материал рассказывает о карьерном росте, лидерстве, управлении командой и профессиональных достижениях женщин в бизнесе. Акцент сделан на бизнесе, лидерстве, карьерном росте и профессиональных результатах.","Материал рассказывает о карьерном росте, лидерстве, управлении командой и профессиональных достижениях женщин в бизнесе. Акцент сделан на бизнесе, лидерстве, карьерном росте и профессиональных результатах."
33,Forbes Woman,Деловые медиа,2024-01-26,Женщины в бизнесе преодолевают недоверие и профессиональные трудности,"Текст анализирует барьеры, неравенство, стереотипы и профессиональные трудности, с которыми женщины сталкиваются на пути к успеху. Акцент сделан на бизнесе, лидерстве, карьерном росте и профессиональных результатах.","Текст анализирует барьеры, неравенство, стереотипы и профессиональные трудности, с которыми женщины сталкиваются на пути к успеху. Акцент сделан на бизнесе, лидерстве, карьерном росте и профессиональных результатах."
34,Forbes Woman,Деловые медиа,2020-08-25,Женщина-лидер: путь от профессионального роста к управлению командой,"Публикация показывает, как профессионализм, амбиции, работа с командой и управленческие навыки становятся основой женского успеха. Акцент сделан на бизнесе, лидерстве, карьерном росте и профессиональных результатах.","Публикация показывает, как профессионализм, амбиции, работа с командой и управленческие навыки становятся основой женского успеха. Акцент сделан на бизнесе, лидерстве, карьерном росте и профессиональных результатах."
35,Forbes Woman,Деловые медиа,2020-11-18,"Рейтинг успешных женщин: публичность, признание и профессиональный статус","В центре материала — известность, профессиональная репутация, публичный образ и символический капитал успешной женщины. Акцент сделан на бизнесе, лидерстве, карьерном росте и профессиональных результатах.","В центре материала — известность, профессиональная репутация, публичный образ и символический капитал успешной женщины. Акцент сделан на бизнесе, лидерстве, карьерном росте и профессиональных результатах."
36,Forbes Woman,Деловые медиа,2025-06-13,Как женщины строят карьеру и занимают лидерские позиции,"Публикация показывает, как профессионализм, амбиции, работа с командой и управленческие навыки становятся основой женского успеха. Акцент сделан на бизнесе, лидерстве, карьерном росте и профессиональных результатах.","Публикация показывает, как профессионализм, амбиции, работа с командой и управленческие навыки становятся основой женского успеха. Акцент сделан на бизнесе, лидерстве, карьерном росте и профессиональных результатах."
37,Forbes Woman,Деловые медиа,2021-05-30,Женщина-лидер: путь от профессионального роста к управлению командой,"Публикация показывает, как профессионализм, амбиции, работа с командой и управленческие навыки становятся основой женского успеха. Акцент сделан на бизнесе, лидерстве, карьерном росте и профессиональных результатах.","Публикация показывает, как профессионализм, амбиции, работа с командой и управленческие навыки становятся основой женского успеха. Акцент сделан на бизнесе, лидерстве, карьерном росте и профессиональных результатах."
38,Forbes Woman,Деловые медиа,2025-04-30,"Руководительницы нового поколения: лидерство, бизнес и стратегия","Материал рассказывает о карьерном росте, лидерстве, управлении командой и профессиональных достижениях женщин в бизнесе. Акцент сделан на бизнесе, лидерстве, карьерном росте и профессиональных результатах.","Материал рассказывает о карьерном росте, лидерстве, управлении командой и профессиональных достижениях женщин в бизнесе. Акцент сделан на бизнесе, лидерстве, карьерном росте и профессиональных результатах."
39,Forbes Woman,Деловые медиа,2022-12-21,Двойная нагрузка и предвзятость: скрытые барьеры женской карьеры,"Публикация показывает, что женский успех часто описывается через преодоление ограничений, тревоги, недоверия и социальных ожиданий. Акцент сделан на бизнесе, лидерстве, карьерном росте и профессиональных результатах.","Публикация показывает, что женский успех часто описывается через преодоление ограничений, тревоги, недоверия и социальных ожиданий. Акцент сделан на бизнесе, лидерстве, карьерном росте и профессиональных результатах."
40,Forbes Woman,Деловые медиа,2024-09-29,Самореализация вместо сценариев: новые модели женского успеха,"Публикация показывает, что успешность может быть связана не только с карьерой, но и с внутренней свободой, развитием и любимым делом. Акцент сделан на бизнесе, лидерстве, карьерном росте и профессиональных результатах.","Публикация показывает, что успешность может быть связана не только с карьерой, но и с внутренней свободой, развитием и любимым делом. Акцент сделан на бизнесе, лидерстве, карьерном росте и профессиональных результатах."
