platform,date,title,frame_manual,url
Forbes Woman,2026-03-01,Исследование: что мешает женщинам строить карьеру и достигать лидерских позиций,барьеры и неравенство,https://www.forbes.ru/forbes-woman/556228-issledovanie-cto-mesaet-zensinam-stroit-kar-eru-i-dostigat-liderskih-pozicij
Forbes Woman,2026-03-01,Путь к лидерству: Forbes Woman представляет масштабное исследование женской карьеры,карьера и лидерство,https://www.forbes.ru/forbes-woman/556229-put-k-liderstvu-forbes-woman-predstavlaet-masstabnoe-issledovanie-zenskoj-kar-ery
Forbes Woman,2026-03-04,Быть кем захочешь: как портфельная карьера меняет траекторию женской занятости,самореализация и выбор,https://www.forbes.ru/forbes-woman/556210-byt-kem-zahoces-kak-portfel-naa-kar-era-menaet-traektoriu-zenskoj-zanatosti
Forbes Woman,2026-03-06,Обучение и менторство: какие практики поддержки женщин в компаниях реально работают,карьера и лидерство,https://www.forbes.ru/forbes-woman/556573-obucenie-i-mentorstvo-kakie-praktiki-podderzki-zensin-v-kompaniah-real-no-rabotaut
Forbes Woman,2026-03-08,"Мотивационная речь: пять подкастов о женских карьере, успехе и предпринимательстве",карьера и лидерство,https://www.forbes.ru/forbes-woman/556604-motivacionnaa-rec-pat-podkastov-o-zenskih-kar-ere-uspehe-i-predprinimatel-stve
Forbes Woman,2026-06-26,Синдром самозванки: почему женщинам так сложно признать свои успехи и профессионализм,барьеры и неравенство,https://www.forbes.ru/forbes-woman/563709-sindrom-samozvanki-pocemu-zensinam-tak-slozno-priznat-svoi-uspehi-i-professionalizm
Forbes Woman,2025-06-05,Статусные игры: как в современном мире меняются представления об успешных женщинах,статус и публичность,https://www.forbes.ru/forbes-woman/538687-statusnye-igry-kak-v-sovremennom-mire-menautsa-predstavlenia-ob-uspesnyh-zensinah
Forbes Woman,2025-03-11,"Ошибка выжившей: зачем успешные женщины делают вид, что им было легко строить карьеру",барьеры и неравенство,https://www.forbes.ru/forbes-woman/532280-osibka-vyzivsej-zacem-uspesnye-zensiny-delaut-vid-cto-im-bylo-legko-stroit-kar-eru
Forbes Woman,2023-01-19,Президент Сорбонны и Галина Тимченко: самые успешные женщины из списка 50 Over 50,статус и публичность,https://www.forbes.ru/forbes-woman/483938-prezident-sorbonny-i-galina-timcenko-samye-uspesnye-zensiny-iz-spiska-50-over-50
Forbes Woman,2023-08-03,"Космос, наука, стендап: кто вошел в рейтинг 50 самых успешных женщин старше 50 лет",статус и публичность,https://www.forbes.ru/forbes-woman/493936-kosmos-nauka-stendap-kto-vosel-v-rejting-50-samyh-uspesnyh-zensin-starse-50-let
Forbes Woman,2023-05-30,"Как построить карьеру женщинам, несмотря на двойную нагрузку и турбулентность",баланс и семья,https://www.forbes.ru/forbes-woman/490012-kak-postroit-kar-eru-zensinam-nesmotra-na-dvojnuu-nagruzku-i-turbulentnost
Forbes Woman,2020-06-11,Успех без мужей и наследства: победительницы рейтинга 30 до 30 о предпринимательстве,самореализация и выбор,https://www.forbes.ru/forbes-woman/402569-uspeh-bez-muzhey-i-nasledstva-pobeditelnicy-reytinga-30-do-30-o-tom-pochemu
Wonderzine,2018-07-02,Любить себя до конца своих дней: Я женилась на себе,баланс и семья,https://www.wonderzine.com/wonderzine/life/experience/236361-sologamy
Wonderzine,2021-07-26,"Место на кухне и не только: истории женщин, которые занялись любимым делом",самореализация и выбор,https://www.wonderzine.com/wonderzine/opportunities/opportunities/257871-daydzhest-zhenschiny-kotorye-zanyaty-lyubimym-delom
Wonderzine,2018-12-01,Домохозяйки рассказывают о своей жизни,баланс и семья,https://www.wonderzine.com/wonderzine/life/good-question/240637-housewife-without-regrets
