id,platform,date,title,url,context,frame_manual
1,Forbes Woman,2026-03-01,Исследование: что мешает женщинам строить карьеру и достигать лидерских позиций,https://www.forbes.ru/forbes-woman/556228-issledovanie-cto-mesaet-zensinam-stroit-kar-eru-i-dostigat-liderskih-pozicij,"Forbes Woman представил исследование о женской карьере, барьерах на пути к лидерству, гиперответственности, тревожности и необходимости постоянно доказывать профессиональную состоятельность.",барьеры и неравенство
2,Forbes Woman,2026-03-01,Путь к лидерству: Forbes Woman представляет масштабное исследование женской карьеры,https://www.forbes.ru/forbes-woman/556229-put-k-liderstvu-forbes-woman-predstavlaet-masstabnoe-issledovanie-zenskoj-kar-ery,"Материал о женской карьере, стрессе, амбициях, лидерстве и движении к руководящим позициям.",карьера и лидерство
3,Forbes Woman,2026-03-04,Быть кем захочешь: как портфельная карьера меняет траекторию женской занятости,https://www.forbes.ru/forbes-woman/556210-byt-kem-zahoces-kak-portfel-naa-kar-era-menaet-traektoriu-zenskoj-zanatosti,"Успех перестает измеряться только карьерной лестницей или зарплатой; важными становятся несколько ролей, проекты, сеть контактов и личный бренд.",самореализация и выбор
4,Forbes Woman,2026-03-06,Обучение и менторство: какие практики поддержки женщин в компаниях реально работают,https://www.forbes.ru/forbes-woman/556573-obucenie-i-mentorstvo-kakie-praktiki-podderzki-zensin-v-kompaniah-real-no-rabotaut,"Материал связывает женское лидерство с поддержкой, менторством, мягкими инструментами управления, отношениями и командной экосистемой.",карьера и лидерство
5,Forbes Woman,2026-03-08,"Мотивационная речь: пять подкастов о женских карьере, успехе и предпринимательстве",https://www.forbes.ru/forbes-woman/556604-motivacionnaa-rec-pat-podkastov-o-zenskih-kar-ere-uspehe-i-predprinimatel-stve,"Женщины делятся опытом построения карьеры, запуска проектов, предпринимательства и преодоления профессиональных трудностей.",карьера и лидерство
6,Forbes Woman,2026-03-10,Женщинам нужен здоровый цинизм: как выстроить успешную стратегию карьерного роста,https://www.forbes.ru/forbes-woman/556718-zensinam-nuzen-zdorovyj-cinizm-kak-vystroit-uspesnuu-strategiu-kar-ernogo-rosta,"Материал о стратегии карьерного роста, трудностях продвижения и необходимости отстаивать профессиональные интересы.",карьера и лидерство
7,Forbes Woman,2026-06-26,Синдром самозванки: почему женщинам так сложно признать свои успехи и профессионализм,https://www.forbes.ru/forbes-woman/563709-sindrom-samozvanki-pocemu-zensinam-tak-slozno-priznat-svoi-uspehi-i-professionalizm,"Успех описан через профессионализм, тревогу, непризнание собственных достижений и синдром самозванки.",барьеры и неравенство
8,Forbes Woman,2025-06-05,Статусные игры: как в современном мире меняются представления об успешных женщинах,https://www.forbes.ru/forbes-woman/538687-statusnye-igry-kak-v-sovremennom-mire-menautsa-predstavlenia-ob-uspesnyh-zensinah,"Успешная женщина представлена через репутацию, доверие, принципиальность, статус и публичное признание.",статус и публичность
9,Forbes Woman,2025-05-03,Заработать состояние и остаться собой: семь фильмов об успешных женщинах в бизнесе,https://www.forbes.ru/forbes-woman/536143-zarabotat-sostoanie-i-ostat-sa-soboj-sem-fil-mov-ob-uspesnyh-zensinah-v-biznese,"Героини сами строят бизнес, руководят компаниями и управляют капиталом, сохраняя собственную субъектность.",карьера и лидерство
10,Forbes Woman,2025-03-11,"Ошибка выжившей: зачем успешные женщины делают вид, что им было легко строить карьеру",https://www.forbes.ru/forbes-woman/532280-osibka-vyzivsej-zacem-uspesnye-zensiny-delaut-vid-cto-im-bylo-legko-stroit-kar-eru,"Успешность связывается с карьерой, но одновременно с замалчиванием трудностей и иллюзией легкого успеха.",барьеры и неравенство
11,Forbes Woman,2023-01-19,Президент Сорбонны и Галина Тимченко: самые успешные женщины из списка 50 Over 50,https://www.forbes.ru/forbes-woman/483938-prezident-sorbonny-i-galina-timcenko-samye-uspesnye-zensiny-iz-spiska-50-over-50,"Материал представляет яркие карьерные истории женщин старше 50 лет: управление, лидерство, политика, бизнес и публичное влияние.",статус и публичность
12,Forbes Woman,2023-08-03,"Космос, наука, стендап: кто вошел в рейтинг 50 самых успешных женщин старше 50 лет",https://www.forbes.ru/forbes-woman/493936-kosmos-nauka-stendap-kto-vosel-v-rejting-50-samyh-uspesnyh-zensin-starse-50-let,"Рейтинг описывает успешность через признание, достижения, публичный статус и профессиональные траектории после 50 лет.",статус и публичность
13,Forbes Woman,2023-05-30,"Как построить карьеру женщинам, несмотря на двойную нагрузку и турбулентность",https://www.forbes.ru/forbes-woman/490012-kak-postroit-kar-eru-zensinam-nesmotra-na-dvojnuu-nagruzku-i-turbulentnost,"Материал связывает женскую карьеру с двойной нагрузкой, кризисами, выбором, материнством, портфельной занятостью и переосмыслением приоритетов.",баланс и семья
14,Forbes Woman,2020-06-11,Успех без мужей и наследства: победительницы рейтинга 30 до 30 о предпринимательстве,https://www.forbes.ru/forbes-woman/402569-uspeh-bez-muzhey-i-nasledstva-pobeditelnicy-reytinga-30-do-30-o-tom-pochemu,"Успешная женщина здесь не обязательно богатая: акцент на признании в профессиональном кругу, самостоятельности и собственных проектах.",самореализация и выбор
15,Forbes Woman,2019-05-22,Зачем тебе пахать? Как мужчины воспринимают карьерные успехи женщин,https://www.forbes.ru/forbes-woman/376483-zachem-tebe-pahat-kak-muzhchiny-vosprinimayut-karernye-uspehi-zhenshchin,"Материал анализирует восприятие карьерных успехов женщин, поддержку, недоверие, покровительство и гендерные стереотипы.",барьеры и неравенство
16,Forbes Woman,2019-07-26,Самые успешные женщины в шоу-бизнесе и спорте до 40 лет. Рейтинг Forbes,https://www.forbes.ru/forbes-woman-photogallery/380643-samye-uspeshnye-zhenshchiny-v-shou-biznese-i-sporte-do-40-let,"Успех описывается через рейтинг, популярность, доход, спорт, шоу-бизнес и публичное признание.",статус и публичность
17,Forbes Woman,2019-04-06,12 самых успешных женщин среди венчурных инвесторов,https://www.forbes.ru/forbes-woman-photogallery/374473-12-samyh-uspeshnyh-zhenshchin-sredi-venchurnyh-investorov,"Успех представлен через инвестиции, сделки, капитал, позиции партнера и статус в венчурной индустрии.",карьера и лидерство
18,Forbes Woman,2019-02-12,Как правильно ставить карьерные цели. Советы женщин-руководителей,https://www.forbes.ru/forbes-woman/372255-kak-pravilno-stavit-karernye-celi-sovety-zhenshchin-rukovoditeley,"Залог успеха связывается с амбициями, любимым делом, профессиональными целями и готовностью выходить из зоны комфорта.",карьера и лидерство
19,Forbes Woman,2018-04-19,"Формула успеха: как стать большим боссом, если вы женщина",https://www.forbes.ru/forbes-woman/360413-formula-uspeha-kak-stat-bolshim-bossom-esli-vy-zhenshchina,"Успех описывается как руководящая позиция, труд, ответственность, лидерство и способность вести команду.",карьера и лидерство
20,Forbes Woman,2018-05-13,Инъекция успеха: как расширить семейный бизнес и войти в список Forbes,https://www.forbes.ru/forbes-woman/361039-inekciya-uspeha-kak-rasshirit-semeynyy-biznes-i-voyti-v-spisok-forbes,"Успех представлен через бизнес, расширение семейного дела, рейтинг Forbes, фармацевтику и предпринимательство.",карьера и лидерство
21,Wonderzine,2018-07-02,Любить себя до конца своих дней: Я женилась на себе,https://www.wonderzine.com/wonderzine/life/experience/236361-sologamy,"Материал показывает конфликт между личными достижениями и социальным ожиданием, что успешная женщина должна выйти замуж, иметь машину и дом.",баланс и семья
22,Wonderzine,2016-07-21,Синдром самозванца: Почему женщины не верят в свой успех,https://www.wonderzine.com/wonderzine/opportunities/glass-ceiling/219629-imposter-syndrome,"Успех представлен через достижения на работе, но рядом с ним появляются сомнения, тревога, страх повышения и гендерное неравенство.",барьеры и неравенство
23,Wonderzine,2017-06-08,"7 мифов об амбициозных женщинах, в которые пора перестать верить",https://www.wonderzine.com/wonderzine/opportunities/glass-ceiling/226970-women-at-work,"Материал разбирает мифы об амбициозных карьерных женщинах, страхи о браке, зарплате, повышении и корпоративной культуре.",барьеры и неравенство
24,Wonderzine,2015-05-05,Что мешает женщинам делать карьеру в IT-сфере,https://www.wonderzine.com/wonderzine/opportunities/glass-ceiling/213511-why-women-leave-tech,"Текст связывает женскую карьеру в IT с барьерами, стагнацией, отсутствием менторов, мужской культурой и проблемами продвижения.",барьеры и неравенство
25,Wonderzine,2021-07-26,"Место на кухне и не только: истории женщин, которые занялись любимым делом",https://www.wonderzine.com/wonderzine/opportunities/opportunities/257871-daydzhest-zhenschiny-kotorye-zanyaty-lyubimym-delom,"Успех описывается через любимое дело, самореализацию, сохранение себя и заметные результаты вне привычных карьерных шаблонов.",самореализация и выбор
26,Wonderzine,2021-07-08,"На кого подписаться: ютьюб-шоу о том, как женщины строят карьеру и что им мешает",https://www.wonderzine.com/wonderzine/opportunities/opportunities/257491-kariera-zhenschiny,"Проект посвящен тому, как женщины строят карьеру в условиях неравных прав, высоких требований и профессиональных препятствий.",барьеры и неравенство
27,Wonderzine,2020-01-01,Девушки из игровой индустрии о своём опыте,https://www.wonderzine.com/wonderzine/opportunities/opportunities/254727-gamers-are-cool,"Успешные женщины в игровой индустрии рассказывают об опыте, профессиональном пути, токсичности среды и развитии женского комьюнити.",карьера и лидерство
28,Wonderzine,2016-08-01,Как не бояться повышения: совет CEO IBM Вирджинии Рометти,https://www.wonderzine.com/wonderzine/opportunities/job/219291-virginia-rometty,"Успех связывается с повышением, риском, выходом из зоны комфорта, карьерным ростом и уверенностью в своих силах.",карьера и лидерство
29,Wonderzine,2016-08-01,Как извлекать пользу из критики: совет Хиллари Клинтон,https://www.wonderzine.com/wonderzine/life/work/219541-hillary-clinton,"Материал говорит о построении карьеры, критике, профессиональном успехе и опыте женщины-политика.",карьера и лидерство
30,Wonderzine,2019-08-01,"Что я вообще делаю? Истории женщин, которые работают в программировании",https://www.wonderzine.com/wonderzine/opportunities/opportunities/266061-program,"Материал связывает успешную карьеру женщин с программированием, переобучением, трудностями и входом в сферу больших денег.",карьера и лидерство
31,Wonderzine,2018-12-01,Домохозяйки рассказывают о своей жизни,https://www.wonderzine.com/wonderzine/life/good-question/240637-housewife-without-regrets,"Самореализация описывается не только через оплачиваемую работу, но и через дом, детей, социальное одобрение и собственные занятия.",баланс и семья
32,Wonderzine,2020-09-01,"Нормально не знать, кем хочешь быть, и в 18, и в 35",https://www.wonderzine.com/wonderzine/life/good-question/252911-lyudi-kotorye-chasto-menyayut-rabotu,"Материал критикует культ успеха и идею обязательного дела жизни, связывая самореализацию с правом на поиск и паузу.",самореализация и выбор
33,Wonderzine,2017-09-01,Как просить повышение или прибавку,https://www.wonderzine.com/wonderzine/opportunities/my-money/227794-aim-higher,"Успех связан с оплатой труда, повышением, профессиональной ценностью и необходимостью открытого разговора о деньгах.",карьера и лидерство
34,Wonderzine,2017-12-01,"Моё второе имя: как соблюсти интересы партнёра, не забывая о себе",https://www.wonderzine.com/wonderzine/life/life/235381-are-we-equal-or-what,"Материал связывает самореализацию с личными границами, отношениями и отказом ставить интересы партнера выше собственных.",баланс и семья
35,Wonderzine,2016-10-01,Как я стала спортивным фотографом и переехала в Лондон,https://www.wonderzine.com/wonderzine/opportunities/profession/227700-sports-photograph,"Героиня описывается через профессию, любимую работу, карьерную траекторию и интересное дело.",самореализация и выбор
36,Wonderzine,2016-09-01,"Я пришла за войной, а не за мужем: почему я играю в страйкбол",https://www.wonderzine.com/wonderzine/life/experience/227332-girl-who-strikes-ball,Самореализация показана как выбор занятия вне традиционных женских ролей и доказательство собственной силы.,самореализация и выбор
37,Wonderzine,2018-03-01,"8 консервативных советов родителей, которым не надо следовать",https://www.wonderzine.com/wonderzine/life/life/239171-listen-up-don-t-take-my-advice,"Материал критикует ожидания о браке, детях, работе и внешнем соответствии чужим нормам; самореализация связывается с личным выбором.",баланс и семья
38,Wonderzine,2017-08-22,Как я бросила физику и стала управлять библиотекой,https://www.wonderzine.com/wonderzine/opportunities/profession/228804-tatyana-novoselova,"Женская профессиональная история представлена через смену траектории, поиск своего дела и интересную работу.",самореализация и выбор
39,Wonderzine,2017-05-01,Когда придет настоящий режиссёр? О работе женщин-документалисток,https://www.wonderzine.com/wonderzine/opportunities/profession/229388-sara-moshman-empowerment,"Женщина в профессии представлена через карьеру, творчество, документальное кино и преодоление профессионального недоверия.",барьеры и неравенство
40,Wonderzine,2021-06-01,Что вы при этом чувствуете? Все стереотипы о психотерапевтках в кино,https://www.wonderzine.com/wonderzine/entertainment/movies/257807-psychotherapists-in-movies,Материал анализирует образы успешных женщин в кино и проблему их второстепенности как эмоциональной поддержки других героев.,статус и публичность
